"Sex of employee","Type of employment contract","Other characteristics employee","Industry class / branch (SIC2008)","Periods","Employment Jobs","Labour volume","Wage per job Hourly wage (euro)","Wage per job Monthly wages Monthly wage including overtime (euro)","Monthly wages Monthly wage excluding overtime (euro)","Yearly wage Yearly wage including bonuses (euro)","Yearly wage Yearly wage excluding special payments (euro)","Yearly wage Bonuses and allowances (euro)","Yearly wage Additional tax liability for company car (euro)","Working hours Per job per week including overtime (hour)","Per job per week excluding overtime (hour)","Per job per year (hour)","Per working year (hour)"
"Total","Total","Total","A-U All economic activities","2009","7,820","5,925","20.02","2,225","2,195","30,650","26,710","3,940","510","29.1","28.8","1,315","1,736"
"Total","Total","Total","A-U All economic activities","2010 after change of method","7,860","5,924","20.41","2,245","2,214","30,990","26,940","4,050","500","28.9","28.5","1,301","1,727"
"Total","Total","Total","A-U All economic activities","2011","7,926","5,926","20.62","2,266","2,234","31,340","27,200","4,140","470","28.7","28.3","1,300","1,739"
"Total","Total","Total","A-U All economic activities","2012","7,872","5,868","21.16","2,302","2,271","31,740","27,630","4,120","480","28.6","28.3","1,288","1,728"
"Total","Total","Total","A-U All economic activities","2013","7,746","5,773","21.48","2,337","2,306","32,430","28,050","4,380","460","28.8","28.4","1,288","1,729"
"Total","Total","Total","A-U All economic activities","2014","7,706","5,740","21.58","2,359","2,328","32,590","28,310","4,270","430","28.8","28.4","1,294","1,738"
"Total","Total","Total","A-U All economic activities","2015","7,783","5,794","22.08","2,405","2,373","33,200","28,860","4,340","390","28.8","28.4","1,290","1,732"
"Total","Total","Total","A-U All economic activities","2016","7,893","5,902","22.13","2,436","2,404","33,730","29,230","4,500","390","29.0","28.6","1,303","1,743"
"Total","Total","Total","A-U All economic activities","2017","8,096","6,045","22.23","2,460","2,427","34,090","29,520","4,570","400","29.0","28.7","1,310","1,754"
"Total","Total","Total","A-U All economic activities","2018","8,324","6,237","22.69","2,508","2,474","34,670","30,090","4,580","420","29.1","28.8","1,309","1,747"
"Total","Total","Total","A-U All economic activities","2019","8,501","6,381","23.14","2,575","2,543","35,630","30,900","4,740","440","29.2","28.9","1,318","1,756"
"Total","Total","Total","A-U All economic activities","2020","8,391","6,356","24.07","2,692","2,663","37,280","32,310","4,970","470","29.5","29.2","1,328","1,753"
"Total","Total","Total","A-U All economic activities","2021","8,561","6,507","24.45","2,761","2,730","38,380","33,130","5,250","470","29.5","29.2","1,340","1,763"
"Total","Total","Total","A-U All economic activities","2022","8,868","6,723","25.32","2,852","2,822","39,940","34,230","5,710","480","29.5","29.2","1,337","1,764"
"Total","Total","Total","A-U All economic activities","2023","8,979","6,826","27.12","3,045","3,015","42,380","36,540","5,840","520","29.5","29.2","1,334","1,755"
"Total","Total","Total","A-U All economic activities","2024","9,046","6,877","28.94","3,249","3,218","45,220","38,990","6,240","570","29.5","29.3","1,335","1,756"
"Total","Total","Total","A-U All economic activities","2025*","9,167","6,962","30.49","3,399","3,368","47,360","40,790","6,570","600","29.5","29.2","1,326","1,746"
"Total","Total","15 to 19 years","A-U All economic activities","2009","568","207","6.06","327","320","4,260","3,930","330","0","14.1","13.8","634","1,739"
"Total","Total","15 to 19 years","A-U All economic activities","2010 after change of method","553","196","6.08","315","308","4,100","3,780","320","0","13.6","13.3","608","1,716"
"Total","Total","15 to 19 years","A-U All economic activities","2011","556","190","6.08","308","301","3,960","3,700","270","0","13.1","12.9","594","1,739"
"Total","Total","15 to 19 years","A-U All economic activities","2012","541","180","6.09","298","292","3,830","3,580","250","0","12.8","12.6","575","1,727"
"Total","Total","15 to 19 years","A-U All economic activities","2013","518","171","5.95","290","284","3,720","3,480","240","0","12.8","12.6","572","1,733"
"Total","Total","15 to 19 years","A-U All economic activities","2014","514","166","5.91","284","278","3,640","3,410","230","0","12.6","12.3","564","1,745"
"Total","Total","15 to 19 years","A-U All economic activities","2015","534","171","5.96","285","279","3,650","3,420","230","0","12.5","12.3","561","1,747"
"Total","Total","15 to 19 years","A-U All economic activities","2016","564","188","5.86","290","286","3,760","3,480","280","0","12.9","12.8","585","1,756"
"Total","Total","15 to 19 years","A-U All economic activities","2017","604","206","6.11","307","302","3,940","3,680","260","0","13.1","13.0","593","1,741"
"Total","Total","15 to 19 years","A-U All economic activities","2018","644","223","6.51","331","325","4,260","3,970","290","0","13.3","13.1","598","1,732"
"Total","Total","15 to 19 years","A-U All economic activities","2019","669","231","6.89","351","346","4,530","4,220","320","10","13.3","13.2","602","1,742"
"Total","Total","15 to 19 years","A-U All economic activities","2020","631","223","7.27","380","375","4,910","4,560","360","10","13.7","13.6","618","1,750"
"Total","Total","15 to 19 years","A-U All economic activities","2021","648","231","7.49","393","388","5,080","4,720","360","10","13.7","13.5","622","1,745"
"Total","Total","15 to 19 years","A-U All economic activities","2022","700","248","8.18","428","423","5,540","5,130","410","10","13.6","13.5","620","1,749"
"Total","Total","15 to 19 years","A-U All economic activities","2023","704","248","9.18","475","470","6,130","5,700","440","10","13.5","13.4","614","1,741"
"Total","Total","15 to 19 years","A-U All economic activities","2024","704","244","10.07","513","507","6,600","6,160","440","10","13.3","13.2","605","1,743"
"Total","Total","15 to 19 years","A-U All economic activities","2025*","710","246","10.78","546","541","7,030","6,550","470","10","13.3","13.2","602","1,734"
"Total","Total","Nationality: Dutch","A-U All economic activities","2009","7,407","5,604","20.18","2,235","2,205","30,780","26,820","3,960","530","29.0","28.7","1,311","1,733"
"Total","Total","Nationality: Dutch","A-U All economic activities","2010 after change of method","7,440","5,594","20.58","2,253","2,222","31,080","27,030","4,040","520","28.8","28.4","1,296","1,724"
"Total","Total","Nationality: Dutch","A-U All economic activities","2011","7,482","5,576","20.81","2,274","2,243","31,430","27,290","4,130","490","28.5","28.2","1,294","1,736"
"Total","Total","Nationality: Dutch","A-U All economic activities","2012","7,421","5,513","21.37","2,310","2,280","31,840","27,720","4,120","490","28.5","28.1","1,281","1,724"
"Total","Total","Nationality: Dutch","A-U All economic activities","2013","7,298","5,419","21.67","2,343","2,313","32,490","28,120","4,370","470","28.6","28.2","1,281","1,725"
"Total","Total","Nationality: Dutch","A-U All economic activities","2014","7,251","5,377","21.78","2,363","2,333","32,610","28,360","4,250","440","28.5","28.2","1,286","1,734"
"Total","Total","Nationality: Dutch","A-U All economic activities","2015","7,302","5,409","22.29","2,409","2,378","33,190","28,900","4,290","400","28.6","28.2","1,280","1,728"
"Total","Total","Nationality: Dutch","A-U All economic activities","2016","7,379","5,487","22.38","2,441","2,411","33,740","29,290","4,450","400","28.7","28.4","1,293","1,739"
"Total","Total","Nationality: Dutch","A-U All economic activities","2017","7,524","5,582","22.53","2,467","2,437","34,140","29,610","4,530","420","28.7","28.4","1,298","1,750"
